date,ts,session,session_label,open,high,low,close,p_confirm_long,p_confirm_short,p_false_session,p_m7_ret_sd,p_m7_time,p_max_ext_sd,p_max_ext_time,p_max_ret_sd,p_max_ret_time,box_std,confirm_side,is_post_confirm,is_false_session,current_ext_sd,current_ret_sd,candle_index,confirm_candle_index,day_number,max_ext_candle_index,max_ret_candle_index
2008-03-10,2008-03-10 00:00:00-04:00,AS,Asia,1288.0,1288.0,1287.25,1287.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,42.0,,4.0,,
2008-03-10,2008-03-10 00:05:00-04:00,AS,Asia,1287.25,1287.5,1287.0,1287.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,43.0,,4.0,,
2008-03-10,2008-03-10 00:10:00-04:00,AS,Asia,1287.25,1287.5,1286.75,1287.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,44.0,,4.0,,
2008-03-10,2008-03-10 00:15:00-04:00,AS,Asia,1286.75,1287.25,1286.75,1287.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,45.0,,4.0,,
2008-03-10,2008-03-10 00:20:00-04:00,AS,Asia,1287.0,1287.25,1287.0,1287.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,46.0,,4.0,,
2008-03-10,2008-03-10 00:25:00-04:00,AS,Asia,1287.0,1287.25,1286.75,1286.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,47.0,,4.0,,
2008-03-10,2008-03-10 00:30:00-04:00,AS,Asia,1287.0,1287.0,1286.75,1286.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,48.0,,4.0,,
2008-03-10,2008-03-10 00:35:00-04:00,AS,Asia,1287.0,1287.0,1287.0,1287.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,49.0,,4.0,,
2008-03-10,2008-03-10 00:40:00-04:00,AS,Asia,1287.0,1287.25,1286.75,1287.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,50.0,,4.0,,
2008-03-10,2008-03-10 00:45:00-04:00,AS,Asia,1287.0,1287.25,1286.5,1286.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,51.0,,4.0,,
2008-03-10,2008-03-10 00:50:00-04:00,AS,Asia,1286.75,1287.0,1286.5,1286.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,52.0,,4.0,,
2008-03-10,2008-03-10 00:55:00-04:00,AS,Asia,1286.75,1286.75,1286.25,1286.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,53.0,,4.0,,
2008-03-10,2008-03-10 01:00:00-04:00,AS,Asia,1286.75,1287.0,1286.25,1286.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,54.0,,4.0,,
2008-03-10,2008-03-10 01:05:00-04:00,AS,Asia,1286.75,1287.25,1286.75,1287.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,55.0,,4.0,,
2008-03-10,2008-03-10 01:10:00-04:00,AS,Asia,1287.25,1287.75,1287.25,1287.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,56.0,,4.0,,
2008-03-10,2008-03-10 01:15:00-04:00,AS,Asia,1287.25,1287.25,1287.25,1287.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,57.0,,4.0,,
2008-03-10,2008-03-10 01:20:00-04:00,AS,Asia,1287.25,1287.5,1286.75,1286.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,58.0,,4.0,,
2008-03-10,2008-03-10 01:25:00-04:00,AS,Asia,1287.0,1287.5,1287.0,1287.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,59.0,,4.0,,
2008-03-10,2008-03-10 01:30:00-04:00,AS,Asia,1287.5,1288.0,1287.5,1287.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,60.0,,4.0,,
2008-03-10,2008-03-10 01:35:00-04:00,AS,Asia,1288.0,1288.25,1288.0,1288.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,61.0,,4.0,,
2008-03-10,2008-03-10 01:40:00-04:00,AS,Asia,1288.25,1288.5,1288.25,1288.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,62.0,,4.0,,
2008-03-10,2008-03-10 01:45:00-04:00,AS,Asia,1288.25,1288.5,1288.0,1288.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,63.0,,4.0,,
2008-03-10,2008-03-10 01:50:00-04:00,AS,Asia,1288.25,1288.75,1287.75,1287.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,64.0,,4.0,,
2008-03-10,2008-03-10 01:55:00-04:00,AS,Asia,1287.5,1287.75,1287.25,1287.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,65.0,,4.0,,
2008-03-10,2008-03-10 02:00:00-04:00,AS,Asia,1288.0,1288.25,1287.5,1287.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-222.0,,4.0,,
2008-03-10,2008-03-10 02:05:00-04:00,AS,Asia,1288.0,1288.25,1287.25,1288.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-221.0,,4.0,,
2008-03-10,2008-03-10 02:10:00-04:00,AS,Asia,1288.25,1289.25,1288.25,1288.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-220.0,,4.0,,
2008-03-10,2008-03-10 02:15:00-04:00,AS,Asia,1288.75,1289.0,1288.5,1288.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-219.0,,4.0,,
2008-03-10,2008-03-10 02:20:00-04:00,AS,Asia,1288.75,1289.25,1288.5,1288.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-218.0,,4.0,,
2008-03-10,2008-03-10 02:25:00-04:00,AS,Asia,1288.5,1288.5,1287.75,1288.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-217.0,,4.0,,
2008-03-10,2008-03-10 02:30:00-04:00,AS,Asia,1288.0,1288.0,1287.25,1287.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-216.0,,4.0,,
2008-03-10,2008-03-10 02:35:00-04:00,AS,Asia,1287.5,1288.0,1287.25,1288.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-215.0,,4.0,,
2008-03-10,2008-03-10 02:40:00-04:00,AS,Asia,1288.0,1288.75,1288.0,1288.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-214.0,,4.0,,
2008-03-10,2008-03-10 02:45:00-04:00,AS,Asia,1288.75,1289.0,1288.5,1288.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-213.0,,4.0,,
2008-03-10,2008-03-10 02:50:00-04:00,AS,Asia,1288.75,1289.25,1288.75,1289.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-212.0,,4.0,,
2008-03-10,2008-03-10 02:55:00-04:00,AS,Asia,1289.0,1289.0,1288.25,1288.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,-211.0,,4.0,,
2008-03-10,2008-03-10 03:00:00-04:00,TO,TransODR,1289.0,1289.25,1288.25,1288.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,,,4.0,,
2008-03-10,2008-03-10 03:05:00-04:00,TO,TransODR,1288.75,1288.75,1287.5,1287.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,,,4.0,,
2008-03-10,2008-03-10 03:10:00-04:00,TO,TransODR,1287.75,1288.0,1287.25,1288.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,,,4.0,,
2008-03-10,2008-03-10 03:15:00-04:00,TO,TransODR,1287.75,1288.25,1287.5,1288.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,,,4.0,,
2008-03-10,2008-03-10 03:20:00-04:00,TO,TransODR,1288.25,1288.5,1288.0,1288.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,,,4.0,,
2008-03-10,2008-03-10 03:25:00-04:00,TO,TransODR,1288.5,1290.0,1288.5,1289.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,,,4.0,,
2008-03-10,2008-03-10 03:30:00-04:00,TO,TransODR,1289.5,1290.25,1289.5,1289.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,,,4.0,,
2008-03-10,2008-03-10 03:35:00-04:00,TO,TransODR,1289.75,1291.0,1289.75,1290.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,none,False,False,,,,,4.0,,
